School,ID,Bachelors Degree,Associate Degree,Award between 1 and 2 years,Award less than 1 year,Unclassified Undergraduate,Year
ClarksvilleSeniorHighSchool,0833,20,11,0,1,0,2014
ClayCityJrSrHighSchool,0897,17,13,0,1,0,2014
ClayHighSchool,7421,78,42,2,1,1,2014
ClintonCentralJuniorSeniorHighSchool,0957,23,12,4,1,0,2014
ClintonChristianSchool,A875,0,0,0,0,0,2014
ClintonPrairieJrSrHighSchool,0977,17,15,1,0,0,2014
CloverdaleHighSchool,7077,21,11,1,0,0,2014
ColonialChristianSchool,C495,***,***,***,***,***,2014
ColumbiaCityHighSchool,9187,54,34,1,0,13,2014
ColumbusChristianSchoolInc,A450,***,***,***,***,***,2014
ColumbusEastHighSchool,0399,144,37,1,1,1,2014
ColumbusNorthHighSchool,0397,149,60,1,2,1,2014
CommunityMontessori,1536,6,5,0,0,0,2014
CommunityYouthServices,9056,***,***,***,***,***,2014
ConcordCommunityHighSchool,1715,73,36,3,1,1,2014
ConcordiaLutheranHighSchool,A195,51,12,2,0,5,2014
ConnersvilleSrHighSchool,1889,73,41,2,1,1,2014
CorydonCentralHighSchool,2640,46,27,0,0,2,2014
CovenantChristianHighSchool,B469,***,***,***,***,***,2014
CovenantChristianHighSchool,C527,16,7,0,0,0,2014
CovingtonCommunityHighSchool,2005,13,4,1,0,0,2014
CowanHighSchool,1386,13,15,1,0,0,2014
CrawfordCountyJrSrHighSchool,1059,27,20,0,0,0,2014
CrawfordsvilleSrHighSchool,6277,22,19,1,3,0,2014
CrispusAttucksMedicalMagnetHighSchool,5473,29,21,0,0,0,2014
CrossingEducationalCenter,B009,***,***,***,***,***,2014
CrothersvilleJrSrHighSchool,3121,14,5,0,0,0,2014
CrownPointHighSchool,3901,285,41,5,1,3,2014
CulverCommunityHighSchool,5245,9,9,1,0,0,2014
DalevilleJrSrHighSchool,1401,15,21,1,1,0,2014
DanvilleCommunityHighSchool,2741,65,22,1,2,0,2014
DecaturCentralHighSchool,5177,79,73,4,2,1,2014
DecaturTownshipSchoolforExcellence,5188,***,***,***,***,***,2014
DeKalbHighSchool,1345,58,42,4,0,15,2014
DelphiCommunityHighSchool,0637,45,17,2,0,0,2014
DeltaHighSchool,1369,60,44,2,0,1,2014
DonaldEGavitMiddleHighSchool,4413,45,20,1,1,0,2014
EastCentralHighSchool,7213,61,61,3,3,0,2014
EastChicagoCentralHighSchool,3924,63,48,1,6,0,2014
EastNobleHighSchool,6458,73,28,2,1,22,2014
EastbrookHighSchool,2293,28,26,0,1,1,2014
EasternGreeneHighSchool,2435,25,30,2,0,0,2014
EasternHancockHighSchool,2585,30,11,4,0,1,2014
EasternHighSchool,8905,38,13,2,0,0,2014
EasternHighSchool,2919,47,19,2,0,1,2014
EastsideJuniorSeniorHighSchool,1317,18,15,1,1,4,2014
EdgewoodHighSchool,6146,53,43,0,1,0,2014
EdinburghCommunityHighSchool,3447,13,14,0,0,0,2014
ElkhartCentralHighSchool,1749,98,44,1,0,2,2014
ElkhartChristianAcademy,A990,11,4,1,0,1,2014
ElkhartMemorialHighSchool,1750,77,49,3,0,1,2014
ElwoodJrSrHighSchool,5149,21,21,1,0,0,2014
EmanSchools,B160,***,***,***,***,***,2014
EminenceJrSrHighSchool,6325,3,8,0,0,0,2014
EmmerichManualHighSchool,5481,7,8,0,1,0,2014
EvansvilleDaySchool,D525,***,***,***,***,***,2014
ExcelCenterForAdultLearners,5669,1,49,0,3,0,2014
FairfieldJrSrHighSchool,1613,23,12,0,0,5,2014
FaithChristianSchool,D452,13,8,1,0,1,2014
FallCreekAcademy,5870,***,***,***,***,***,2014
FishersChristianAcademy,B161,***,***,***,***,***,2014
FishersHighSchool,2487,251,77,2,2,2,2014
FloydCentralHighSchool,1930,169,47,1,2,0,2014
ForestParkJrSrHighSchool,1583,45,26,0,0,1,2014
FountainCentralHighSchool,2022,23,23,0,0,0,2014
FrancisJosephReitzHighSchool,8245,74,56,3,1,37,2014
FrankfortSeniorHighSchool,0997,49,17,1,0,0,2014
FranklinCentralHighSchool,5193,195,87,5,1,1,2014
FranklinCommunityHighSchool,3445,89,53,1,0,0,2014
FranklinCountyHighSchool,2083,38,25,1,1,0,2014
FranktonJrSrHighSchool,5005,22,19,1,1,1,2014
FremontHighSchool,7877,18,11,2,0,2,2014
FrontierJrSrHighSchool,9137,11,11,3,0,0,2014
GarrettHighSchool,1325,22,24,1,0,8,2014
GaryLighthouseCharterSchool,4130,22,15,0,0,1,2014
GaryMiddleCollege,4027,***,***,***,***,***,2014
GatewayWoodsSchool,A352,***,***,***,***,***,2014
GeorgeRogersClarkMiddleHighSchool,4411,42,23,1,1,0,2014
GeorgeWashingtonCommunityHighSchool,5643,11,16,1,1,0,2014
GibsonSouthernHighSchool,2211,46,20,2,1,5,2014
GoshenHighSchool,1821,75,54,0,2,4,2014
GrangerChristianSchool,D310,***,***,***,***,***,2014
GreencastleSeniorHighSch,7089,38,16,1,0,0,2014
GreenfieldCentralHighSchool,2595,113,40,2,1,1,2014
GreensburgCommunityHighSchool,1268,39,10,0,1,0,2014
GreenwoodChristianAcademy,C966,20,1,0,0,0,2014
GreenwoodCommunityHighSchool,3473,70,32,2,1,1,2014
GriffithSeniorHighSchool,4173,78,14,0,0,0,2014
GuerinCatholicHighSchool,B249,88,4,1,0,0,2014
HagerstownJrSrHighSchool,8985,22,10,1,1,1,2014
HamiltonCommunityHighSch,7885,7,4,0,0,2,2014
HamiltonHeightsHighSchool,2477,45,22,3,0,1,2014
HamiltonSoutheasternHighSchool,2499,326,83,6,2,2,2014
HammondAcademyofScienceTechnology,4486,34,6,0,0,1,2014
HammondHighSchool,4415,28,26,1,3,1,2014
HanoverCentralHighSchool,3785,61,11,0,0,0,2014
HauserJrSrHighSchool,0410,18,10,0,0,0,2014
HebronHighSchool,6813,32,9,0,0,0,2014
HenryvilleJrSrHighSchool,0765,22,11,0,0,0,2014
HeritageChristianSchool,C275,46,5,0,0,0,2014
HeritageHallChristianSchool,A746,***,***,***,***,***,2014
HeritageHillsHighSchool,7759,43,21,1,0,10,2014
HeritageJrSrHighSchool,0081,27,28,1,0,3,2014
HerronHighSchool,5724,40,24,1,0,0,2014
HighlandHighSchool,4281,123,31,5,0,0,2014
HobartHighSchool,4305,97,39,0,0,0,2014
HolyCrossSchool,D725,***,***,***,***,***,2014
HomesteadSeniorHighSchool,0047,198,72,5,2,24,2014
HoosierAcademyIndianapolis,2527,***,***,***,***,***,2014
HoosierAcademyVirtualCharterSchool,5290,6,6,0,0,1,2014
HopeAcademy,5292,***,***,***,***,***,2014
HorizonChristianAcademy,A309,***,***,***,***,***,2014
HorizonChristianSchool,C282,4,6,0,0,0,2014
HoweSchool,B725,***,***,***,***,***,2014
HuntingtonNorthHighSchool,3065,76,31,1,1,8,2014
INAcademyforScienceMathHumanities,1443,84,2,0,0,1,2014
IndianCreekSrHighSchool,3419,42,19,1,0,1,2014
IndianaAcademy,B190,***,***,***,***,***,2014
IndianaChristianAcademy,C175,***,***,***,***,***,2014
IndianaConnectionsAcademy,7944,21,47,1,1,4,2014
IndianaCyberCharterSchool,4421,***,***,***,***,***,2014
IndianaMathScienceAcademy,5837,8,4,1,0,0,2014
IndianaSchoolForTheBlind,C460,***,***,***,***,***,2014
IndianaSchoolForTheDeaf,C695,***,***,***,***,***,2014
IndianaVirtualSchool,2488,0,0,0,0,0,2014
IndianapolisLighthouseCharterSchool,5523,14,7,0,0,0,2014
IndianapolisMetropolitanHighSchool,5664,6,20,2,0,0,2014
InternationalSchofINHS912,C677,13,0,0,0,0,2014
IrvingtonCommunitySchool,1537,17,14,1,1,0,2014
JacCenDelMSHS,7193,21,9,0,0,0,2014
JamesEDavisSchool,A480,***,***,***,***,***,2014
JasperHighSchool,1593,98,39,1,2,10,2014
JayCountyHighSchool,3239,52,53,1,0,3,2014
JeffersonHighSchool,8069,76,102,3,2,2,2014
JeffersonvilleHighSchool,0849,106,55,3,1,0,2014
JenningsCountyHighSchool,3345,76,46,3,2,1,2014
JimtownHighSchool,1701,34,11,0,0,1,2014
JohnGlennHighSchool,7453,54,12,0,1,1,2014
JohnMarshallCommunityHighSchool,5494,8,13,1,1,0,2014
JohnPaulIICatholicHighSch,D722,***,***,***,***,***,2014
JointServiceCampusProgram,7467,***,***,***,***,***,2014
KankakeeValleyHighSchool,3181,78,24,0,1,0,2014
KeyLearningCommunityHighSchool,5631,***,***,***,***,***,2014
KingdomAcademyofBlufftonInc,D875,***,***,***,***,***,2014
KnightstownHighSchool,2869,20,16,5,0,1,2014
KnoxCommunityHighSchool,7833,17,21,3,0,1,2014
KokomoHighSchool,3013,121,65,9,1,0,2014
KoutsMiddleHighSchool,6833,33,7,2,0,0,2014
LaCrosseSchool,4692,7,2,1,0,0,2014
LakeCentralHighSchool,3833,391,48,4,1,1,2014
LakelandChristianAcademy,B595,***,***,***,***,***,2014
LakelandHighSchool,3730,27,15,1,0,6,2014
LakewoodParkChristianSch,A740,7,3,0,1,3,2014
LanesvilleJrSrHighSchool,2613,21,8,0,0,0,2014
LapelSrHighSchool,5011,30,16,1,0,4,2014
LaPorteHighSchool,4741,158,27,0,1,0,2014
LaVilleJrSrHighSchool,7399,33,7,0,0,0,2014
LawrenceCentralHighSchool,5275,171,84,2,2,2,2014
LawrenceNorthHighSchool,5276,196,91,4,0,2,2014
LawrenceburgHighSchool,1177,24,28,1,0,1,2014
LebanonSeniorHighSchool,0553,65,32,1,0,1,2014
LeoJuniorSeniorHighSchool,0049,59,28,0,0,11,2014
LewWallaceSciTechEngMath,4029,7,19,3,1,0,2014
LewisCassJrSrHighSchool,0689,32,10,0,0,0,2014
LibertyChristianSchool,C225,7,3,1,0,0,2014
LighthouseChristianAcademy,C927,***,***,***,***,***,2014
LincolnHighSchool,3553,13,89,1,0,1,2014
LincolnSrHighSch,8961,33,24,1,0,0,2014
LintonStocktonHighSchool,2437,24,22,1,0,0,2014
LogansportCommunityHighSchool,0701,85,47,0,0,1,2014
LoogooteeHighSchool,6003,12,35,0,0,0,2014
LowellSeniorHighSchool,3865,100,22,4,0,1,2014
LutheranHighSchool,C270,23,8,0,0,0,2014
MaconaquahHighSchool,6032,46,32,1,0,0,2014
MadisonConsolidatedHighSchool,3309,49,39,5,3,2,2014
MadisonGrantHighSchool,2321,26,19,1,1,0,2014
ManchesterJrSrHighSchool,8625,19,16,0,0,2,2014
MarianHighSchool,D165,79,7,0,0,1,2014
MarionHighSchool,2351,49,53,2,0,6,2014
MarquetteCatholicHighSchool,C125,23,0,0,0,0,2014
MartinsvilleHighSchool,6329,102,64,5,1,1,2014
MaterDeiHighSchool,D530,56,5,0,0,19,2014
McCutcheonHighSchool,8003,102,94,3,0,0,2014
McLeanEducationCenterAlt,8612,***,***,***,***,***,2014
MedoraJrSrHighSchool,3093,***,***,***,***,***,2014
MerrillvilleHighSchool,3809,129,71,3,1,3,2014
MichiganCityHighSchool,4795,108,55,1,0,1,2014
MidwestElitePrepAcadInc,B747,***,***,***,***,***,2014
MilanHighSchool,7205,15,27,1,0,0,2014
MishawakaHighSchool,7461,97,42,3,0,0,2014
MississinewaHighSchool,2333,29,44,1,1,3,2014
MitchellHighSchool,4925,29,42,0,0,1,2014
MonroeCentralJrSrHighSch,7151,20,21,0,0,0,2014
MonroviaHighSchool,6321,21,15,2,1,1,2014
MooresvilleHighSchool,6369,101,35,2,5,1,2014
MorganTownshipMiddleHighSchool,6825,16,12,0,0,0,2014
MorristownJrSrHighSchool,7661,8,15,2,0,0,2014
MortonSeniorHighSchool,4417,91,26,2,0,0,2014
MountVernonHighSchool,6949,61,14,1,3,6,2014
MtVernonHighSchool,2569,97,38,6,0,1,2014
MTISchoolofKnowledge,C628,***,***,***,***,***,2014
MuncieCentralHighSchool,1421,38,41,1,0,0,2014
MuncieSouthsideHighSchool,1424,22,53,0,2,0,2014
MunsterHighSchool,4332,200,18,5,0,0,2014
NeighborsNewVistasHighSchool,6864,***,***,***,***,***,2014
NewAlbanySeniorHighSchool,1925,117,42,0,1,4,2014
NewCastleHighSchool,2825,60,39,1,0,0,2014
NewHavenHighSchool,0297,35,50,3,0,3,2014
NewPalestineHighSchool,2565,114,33,0,0,0,2014
NewPrairieHighSchool,4689,74,16,0,3,1,2014
NewTechInstitute,8326,17,16,1,0,2,2014
NewWashingtonMiddleHighSchool,0809,13,12,1,0,2,2014
NexusAcademyofIndianapolis,5302,***,***,***,***,***,2014
NoblesvilleHighSchool,2517,255,81,3,0,1,2014
NorthCentralHighSchool,7917,13,20,2,1,0,2014
NorthCentralHighSchool,5451,273,126,2,2,1,2014
NorthDaviessJrSrHighSchool,1121,20,27,0,0,0,2014
NorthDecaturJrSrHighSchool,1267,23,8,1,0,0,2014
NorthHarrisonHighSchool,2629,49,19,1,0,0,2014
NorthHighSchool,8253,79,46,2,5,14,2014
NorthJudsonSanPierreHighSch,7849,23,15,1,0,0,2014
NorthKnoxJrSrHighSchool,3537,15,50,0,0,0,2014
NorthMiamiMiddleHighSchool,6049,16,8,1,0,0,2014
NorthMontgomeryHighSchool,6271,26,20,2,0,0,2014
NorthNewtonJrSrHighSch,6411,26,11,1,0,2,2014
NorthPoseySrHighSch,6975,52,19,1,2,6,2014
NorthPutnamSrHighSch,7061,33,15,2,2,0,2014
NorthSideHighSchool,0101,48,82,1,2,13,2014
NorthVermillionHighSchool,8394,18,4,2,0,0,2014
NorthWhiteJrSrHighSchool,9135,11,10,1,0,0,2014
NorthWoodHighSchool,1737,59,10,2,0,0,2014
NortheastDuboisHighSchool,1545,20,17,0,0,0,2014
NortheasternHighSchool,8927,31,17,0,0,0,2014
NorthfieldJrSrHighSchool,8651,17,7,0,1,1,2014
NorthridgeHighSchool,1733,78,32,1,0,1,2014
NorthropHighSchool,0219,93,84,2,1,25,2014
NorthviewHighSchool,0933,64,51,3,2,0,2014
NorthwestCommunityHighSchool,5483,20,28,1,0,0,2014
NorthwesternSeniorHighSchool,2897,55,15,1,0,0,2014
NorwellHighSchool,9087,40,29,1,1,7,2014
OakHillHighSchool,6069,46,17,1,0,0,2014
OaklandHighSchool,8015,***,***,***,***,***,2014
OldenburgAcademy,D135,9,2,0,0,0,2014
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,2014
OptionsCharterSchoolNoblesville,2551,1,10,0,0,0,2014
OregonDavisJrSrHighSchool,7831,11,3,0,0,0,2014
OrleansJrSrHighSch,6573,19,14,1,2,0,2014
OurLadyOfProvidenceHighSch,A575,65,9,0,0,0,2014
OwenValleyCommunityHS,6613,31,46,1,2,0,2014
PaddockViewResidentialCenter,B167,***,***,***,***,***,2014
PaoliJrSrHighSch,6581,34,26,2,0,0,2014
PendletonHeightsHighSchool,5053,74,61,3,2,2,2014
PennHighSchool,7353,342,38,4,1,2,2014
PerryCentralJrSrHighSch,6708,29,10,2,0,2,2014
PerryMeridianHighSchool,5307,116,87,3,1,0,2014
PeruHighSchool,6085,41,13,3,0,2,2014
PikeCentralHighSch,6763,23,34,0,0,0,2014
PikeHighSchool,5353,173,131,6,5,0,2014
PinnacleSchool,C899,***,***,***,***,***,2014
PioneerJrSrHighSchool,0645,15,16,0,0,0,2014
PlainfieldHighSchool,2749,122,39,2,1,1,2014
PlymouthHighSchool,5945,58,20,5,1,2,2014
PortageChristianSchool,D080,***,***,***,***,***,2014
PortageHighSchool,6853,221,71,7,0,2,2014
PrairieHeightsSrHighSchool,3690,13,13,0,0,4,2014
PrincetonCommunityHighSchool,2249,46,34,2,0,3,2014
ProvidenceCristoReyHighSchool,C623,***,***,***,***,***,2014
RNelsonSniderHighSchool,0102,113,68,7,2,23,2014
RandolphSouthernJrSrHighSch,7121,16,6,1,1,1,2014
ReitzMemorialHighSchool,D535,86,13,0,0,10,2014
RensselaerCentralHighSchool,3201,37,10,0,0,0,2014
RichmondAcademy,D860,***,***,***,***,***,2014
RichmondHighSchool,8993,115,55,1,1,1,2014
RileyHighSchool,7513,72,38,3,0,1,2014
RiseUpAcademyatEggleston,7534,***,***,***,***,***,2014
RisingSunHighSchool,6513,10,12,1,0,1,2014
RiverForestHighSchool,3791,15,8,1,0,0,2014
RivertonParkeJrSrHighSchool,6627,27,9,1,2,0,2014
RivetMiddleHighSchool,B560,9,19,0,1,0,2014
RochesterCommunityHighSchool,2173,26,9,1,0,3,2014
RockCreekCommunityAcademy,0771,***,***,***,***,***,2014
RockvilleJrSrHighSchool,6637,18,7,2,1,1,2014
RoncalliHighSchool,C320,132,21,2,0,0,2014
RossvilleMiddleSeniorHighSchool,1021,18,10,1,2,1,2014
RushvilleConsolidatedHighSch,7285,46,36,2,2,0,2014
SaintJosephHighSchool,D225,77,5,1,0,1,2014
SalemHighSchool,8857,46,19,0,1,0,2014
ScecinaMemorialSchool,C710,17,8,1,0,0,2014
ScottsburgSeniorHighSchool,7641,43,19,1,0,0,2014
SeegerMemorialJrSrHS,8737,15,22,1,0,0,2014
SetonCatholicHighSchool,D842,***,***,***,***,***,2014
SeymourChristianAcademy,B455,***,***,***,***,***,2014
SeymourSeniorHighSchool,3133,87,31,2,0,0,2014
ShakamakJrSrHighSchool,2445,15,14,0,0,0,2014
ShaweMemorialHighSchool,B505,***,***,***,***,***,2014
ShelbyvilleSrHighSch,7717,68,28,0,0,0,2014
ShenandoahHighSchool,2817,29,33,1,1,0,2014
SheridanHighSchool,2463,27,11,0,0,0,2014
ShoalsCommJrSrHighSch,5985,8,17,0,0,0,2014
ShortridgeHighSchool,5485,13,10,0,0,0,2014
SignatureSchoolInc,8295,40,0,0,0,1,2014
SilverCreekHighSchool,0777,64,18,2,0,0,2014
SouthAdamsHighSchool,0023,18,12,1,1,3,2014
SouthCentralJrSrHighSchool,4737,22,5,1,0,0,2014
SouthCentralJrSrHighSchool,2670,16,7,0,0,0,2014
SouthDearbornHighSchool,1179,21,42,1,2,2,2014
SouthDecaturJrSrHighSchool,1263,22,11,0,0,0,2014
SouthKnoxMiddleHighSchool,3490,17,37,0,0,0,2014
SouthNewtonSeniorHighSch,6417,10,12,1,2,0,2014
SouthPutnamHighSchool,7071,26,20,0,0,1,2014
SouthRipleyHighSchool,7182,12,20,0,0,0,2014
SouthSideHighSchool,0105,54,64,4,0,10,2014
SouthSpencerHighSchool,7795,34,20,0,0,6,2014
SouthVermillionHighSchool,8432,48,18,1,0,0,2014
SouthernWellsJrSrHighSch,9058,18,8,0,0,0,2014
SouthmontSrHighSchool,6257,25,22,2,0,0,2014
SouthportHighSchool,5309,99,76,3,1,0,2014
SouthridgeHighSchool,1588,27,16,1,0,2,2014
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,2014
SouthwesternHighSchool,3337,19,27,0,1,0,2014
SouthwesternHighSchool,7701,16,7,0,0,0,2014
SouthwoodJrSrHighSchool,8655,29,21,0,0,1,2014
SpeedwaySeniorHighSchool,5891,38,20,0,0,0,2014
SpringsValleyCommHighSch,6589,18,17,0,0,0,2014
SullivanHighSchool,7957,30,36,0,1,0,2014
SwitzerlandCoSeniorHighSch,7993,3,18,1,2,0,2014
TCHarrisSchool,D451,***,***,***,***,***,2014
TROYCenter,D907,***,***,***,***,***,2014
TabernacleChristianSchools,C940,***,***,***,***,***,2014
TaylorHighSchool,2894,35,17,0,0,1,2014
TecumsehJrSrHighSch,8772,12,9,0,0,0,2014
TellCityJrSrHighSchool,6741,22,23,0,0,3,2014
TerreHauteNorthVigoHighSch,8441,160,71,3,3,0,2014
TerreHauteSouthVigoHighSch,8457,117,66,5,1,1,2014
TheAcadofSciEntrepreneurship,6202,5,21,0,0,0,2014
TheExcelCenterAnderson,4904,2,12,0,0,0,2014
TheExcelCenterKokomo,2976,***,***,***,***,***,2014
TheExcelCenterLafayette,8094,***,***,***,***,***,2014
TheExcelCenterLafayetteSq,5912,***,***,***,***,***,2014
TheExcelCenterRichmond,9012,***,***,***,***,***,2014
TheIndependenceAcademy,C589,***,***,***,***,***,2014
TheKingsAcademy,B136,***,***,***,***,***,2014
TheaBowmanLeadershipAcademy,4022,38,9,0,1,0,2014
TheodoreRooseveltCareerTechnicalAcademy,4033,10,17,0,0,0,2014
ThomasAEdisonJrSrHighSchool,3965,23,12,0,0,1,2014
ThomasCarrHoweCommunityHighSchool,5639,5,9,1,0,0,2014
TippecanoeValleyHighSchool,3602,19,33,3,0,2,2014
TiptonHighSchool,8177,41,28,4,0,0,2014
ToddAcademyInc,B293,***,***,***,***,***,2014
TradersPointChristianAcademy,C375,***,***,***,***,***,2014
TriCentralMiddleHighSchool,8155,30,10,0,0,0,2014
TriJuniorSeniorHighSchool,2773,21,17,0,0,0,2014
TriCountyMiddleSeniorHigh,9141,15,10,1,0,0,2014
TriWestSeniorHighSchool,2731,46,13,1,0,2,2014
TrinityChristianSchool,C561,***,***,***,***,***,2014
TrinityLutheranHighSchool,B452,18,4,1,1,0,2014
TritonCentralHighSchool,7689,30,28,0,0,0,2014
TritonJrSrHighSchool,5923,19,12,0,0,1,2014
TurkeyRunJrSrHighSchool,6649,4,9,1,1,0,2014
TwinLakesSeniorHighSchool,9149,42,35,3,0,0,2014
UnionCityCommunityJrSrHS,7161,19,7,1,0,0,2014
UnionCountyHighSchool,8193,22,14,0,0,1,2014
UnionHighSchool,7909,3,13,1,0,0,2014
UnionJuniorHighSchool,7119,10,9,0,0,0,2014
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***,2014
UniversityHighSchoolofIndiana,B241,21,2,0,0,0,2014
ValparaisoHighSchool,6881,207,47,1,1,0,2014
VictoryChristianAcademy,D073,***,***,***,***,***,2014
WabashHighSchool,8693,18,22,0,0,1,2014
WaldoJWoodMemorialHighSchool,2233,8,7,1,0,4,2014
WaldronJrSrHighSchool,7665,10,10,0,0,0,2014
WapahaniHighSchool,1375,28,21,0,2,1,2014
WarrenCentralHighSchool,5361,166,160,6,2,1,2014
WarsawCommunityHighSchool,3647,125,63,5,3,12,2014
WashingtonCatholicMidHighSch,A660,***,***,***,***,***,2014
WashingtonHighSchool,7517,42,38,2,2,1,2014
WashingtonHighSchool,1125,27,66,1,0,2,2014
WashingtonTwpMiddleHighSchool,6849,26,4,0,0,1,2014
WawaseeHighSchool,3639,30,29,2,0,4,2014
WayneHighSchool,0177,34,50,3,1,9,2014
WesDelMiddleSeniorHighSchool,1372,16,18,0,0,0,2014
WestCentralSeniorHighSchool,7025,11,9,0,0,0,2014
WestLafayetteJrSrHighSch,8129,103,22,1,0,0,2014
WestNobleHighSchool,6489,25,23,2,0,0,2014
WestSideLeadershipAcademy,4163,47,51,1,2,0,2014
WestVigoHighSchool,8453,38,30,4,0,0,2014
WestWashingtonJrSrHS,8869,25,10,1,0,0,2014
WesternBooneJrSrHighSchool,0539,52,32,0,0,0,2014
WesternHighSchool,2921,72,21,1,0,0,2014
WestfieldHighSchool,2493,207,55,2,0,0,2014
WestviewJrSrHighSchool,3697,23,7,1,0,1,2014
WestvilleHighSchool,4701,25,11,0,0,0,2014
WheelerHighSchool,6841,55,11,2,0,0,2014
WhiteRiverValleyJrSrHighSchool,2429,12,19,0,0,0,2014
WhitesAcademy,B473,***,***,***,***,***,2014
