School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC
WestNobleHighSchool,6489,35,34,0,***,***,***,***,45,58,11,29,40,28,41,41,***,25,***,***
WestSideLeadershipAcademy,4163,***,49,***,2,58,--,29,31,9,51,18,42,50,10,***,58,***,--,***
WestVigoHighSchool,8453,45,45,4,***,***,12,37,45,85,9,38,56,37,57,***,--,--,--,***
WestWashingtonJrSrHS,8869,10,16,4,***,***,***,***,15,24,6,14,16,11,19,***,--,***,--,--
WesternBooneJrSrHighSchool,0539,***,32,***,***,***,27,26,35,78,10,22,66,18,70,85,--,***,--,***
WesternHighSchool,2921,87,37,4,***,***,29,39,60,109,19,19,109,21,107,113,***,***,***,***
WestfieldHighSchool,2493,197,134,13,***,***,198,46,100,175,169,20,324,37,307,305,***,12,***,12
WestviewJrSrHighSchool,3697,***,19,***,***,***,11,15,24,31,19,10,40,14,36,49,--,***,--,***
WestvilleHighSchool,4701,***,13,***,***,***,***,***,14,26,4,***,***,9,21,27,***,***,--,***
WheelerHighSchool,6841,49,32,3,***,***,***,***,55,67,17,***,***,5,79,71,***,8,***,***
WhiteRiverValleyJrSrHighSchool,2429,15,14,3,***,***,***,***,26,18,14,6,26,7,25,,--,--,--,--
WhitesAcademy,B473,***,***,***,***,***,***,***,***,***,***,***,***,***,***,,***,***,***,***
WhitesJrSrHighSchool,8673,***,0,***,***,***,--,--,1,***,***,***,***,***,***,,***,--,--,***
WhitelandCommunityHighSchool,3421,127,94,8,7,222,91,56,82,141,88,45,184,75,154,,***,***,21,4
WhitingHighSchool,4353,19,42,5,--,66,***,***,44,40,26,17,49,37,29,20,***,43,--,***
WhitkoHighSchool,9191,***,25,***,***,***,13,27,31,56,15,18,53,18,53,68,***,***,--,***
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,***,44,***,***,***,***,***,24,21,35,22,34,34,22,***,***,--,--,--
WilliamHenryHarrisonHighSchool,8311,44,47,35,10,116,***,***,86,60,66,42,84,62,64,76,31,***,***,13
WilliamWBordenHighSchool,0813,***,18,***,***,***,***,***,16,***,***,***,***,12,25,35,--,***,--,***
WinamacCommunityHighSchool,6997,30,23,3,***,***,***,***,32,42,14,12,44,15,41,50,***,***,--,***
WoodlanJrSrHighSchool,0285,32,25,3,***,***,12,27,21,39,21,12,48,20,40,52,***,***,***,***
YorktownHighSchool,1389,99,41,4,***,***,77,40,27,61,83,30,114,34,110,131,***,***,***,***
ZionsvilleCommunityHighSchool,0512,251,***,***,***,***,222,56,89,77,290,***,***,11,356,331,***,15,***,10
