School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Did Not Enroll in College,Non-degree Granting School,Out-of-State Private College (for-profit),Out-of-State Private College (non-profit),Out-of-State Public College
WhitesJrSrHighSchool,8673,***,***,***,***,***,***,***,12,,,,,
WhitelandCommunityHighSchool,3421,165,38,3,8,14,0,1,125,,,,,
WhitingHighSchool,4353,44,15,0,5,2,0,0,19,,,,,
WhitkoHighSchool,9191,38,26,2,2,3,0,0,58,,,,,
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,46,4,0,2,4,0,0,25,,,,,
WilliamHenryHarrisonHighSchool,8311,95,7,1,16,5,2,0,66,,,,,
WilliamWBordenHighSchool,0813,32,3,0,1,1,0,0,18,,,,,
WinamacCommunityHighSchool,6997,40,12,1,1,2,0,0,33,,,,,
WoodlanJrSrHighSchool,0285,43,13,0,0,4,0,0,36,,,,,
YorktownHighSchool,1389,109,20,0,6,9,0,0,42,,,,,
ZionsvilleCommunityHighSchool,0512,231,43,0,39,53,1,0,46,,,,,
