School,ID,Bachelors Degree,Associate Degree,Award between 1 and 2 years,Award less than 1 year,Unclassified Undergraduate
LanesvilleJrSrHighSchool,2613,14,4,0,0,0
LapelSrHighSchool,5011,34,16,0,0,0
LaPorteHighSchool,4741,148,29,2,0,0
LaVilleJrSrHighSchool,7399,25,7,0,0,0
LawrenceCentralHighSchool,5275,150,85,4,3,3
LawrenceNorthHighSchool,5276,191,74,4,1,0
LawrenceburgHighSchool,1177,33,23,0,0,0
LebanonSeniorHighSchool,0553,64,25,3,0,0
LeoJuniorSeniorHighSchool,0049,81,22,4,2,16
LewWallaceSciTechEngMath,4029,,,,,
LewisCassJrSrHighSchool,0689,32,14,1,0,0
LibertyChristianSchool,C225,***,***,***,***,***
LighthouseChristianAcademy,C927,***,***,***,***,***
LincolnHighSchool,3553,17,87,0,0,0
LincolnSrHighSch,8961,19,8,0,1,0
LintonStocktonHighSchool,2437,18,32,1,0,0
LogansportCommunityHighSchool,0701,71,44,11,0,0
LoogooteeHighSchool,6003,20,40,0,0,2
LowellSeniorHighSchool,3865,121,25,0,2,1
LutheranHighSchool,C270,22,7,0,0,1
MaconaquahHighSchool,6032,45,15,2,1,1
MadisonConsolidatedHighSchool,3309,46,49,2,1,0
MadisonGrantHighSchool,2321,31,13,0,0,0
ManchesterJrSrHighSchool,8625,20,12,1,0,2
MarianHighSchool,D165,89,6,0,1,0
MarionHighSchool,2351,46,53,2,1,5
MarquetteCatholicHighSchool,C125,18,2,0,0,0
MartinsvilleHighSchool,6329,90,46,1,0,2
MaterDeiHighSchool,D530,63,7,0,0,6
McCutcheonHighSchool,8003,92,114,4,0,1
McLeanEducationCenterAlt,8612,***,***,***,***,***
MedoraJrSrHighSchool,3093,***,***,***,***,***
MerrillvilleHighSchool,3809,158,57,2,0,3
MichiganCityHighSchool,4795,121,39,2,0,0
MidwestElitePrepAcadInc,B747,***,***,***,***,***
MilanHighSchool,7205,13,9,0,0,1
MishawakaHighSchool,7461,97,27,1,0,2
MississinewaHighSchool,2333,40,23,0,2,1
MitchellHighSchool,4925,34,27,0,0,2
MonroeCentralJrSrHighSch,7151,28,14,1,0,1
MonroviaHighSchool,6321,27,12,1,0,2
MooresvilleHighSchool,6369,60,48,1,0,1
MorganTownshipMiddleHighSchool,6825,22,10,1,0,0
MorristownJrSrHighSchool,7661,19,4,0,0,0
MortonSeniorHighSchool,4417,106,28,1,1,2
MountVernonHighSchool,6949,42,23,3,0,14
MtVernonHighSchool,2569,92,36,1,1,1
MTISchoolofKnowledge,C628,***,***,***,***,***
MuncieCentralHighSchool,1421,63,70,3,1,1
MuncieSouthsideHighSchool,1424,,,,,
MunsterHighSchool,4332,198,16,2,1,0
NeighborsNewVistasHighSchool,6864,***,***,***,***,***
NewAlbanySeniorHighSchool,1925,130,46,1,0,0
NewCastleHighSchool,2825,55,49,2,0,0
NewHavenHighSchool,0297,41,37,4,1,11
NewPalestineHighSchool,2565,100,41,0,0,1
NewPrairieHighSchool,4689,86,9,1,0,0
NewTechInstitute,8326,17,13,1,0,1
NewWashingtonMiddleHighSchool,0809,18,8,0,0,0
NexusAcademyofIndianapolis,5302,3,9,0,0,0
NoblesvilleHighSchool,2517,227,108,2,1,4
NorthCentralHighSchool,7917,21,17,1,0,0
NorthCentralHighSchool,5451,278,104,3,1,2
NorthDaviessJrSrHighSchool,1121,13,23,0,0,0
NorthDecaturJrSrHighSchool,1267,29,9,0,0,0
NorthHarrisonHighSchool,2629,49,12,0,0,0
NorthHighSchool,8253,102,38,2,0,21
NorthJudsonSanPierreHighSch,7849,21,14,2,0,0
NorthKnoxJrSrHighSchool,3537,13,49,1,1,0
NorthMiamiMiddleHighSchool,6049,16,15,2,1,0
NorthMontgomeryHighSchool,6271,39,25,1,2,0
NorthNewtonJrSrHighSch,6411,27,15,4,0,0
NorthSideHighSchool,0101,62,52,4,1,15
NorthVermillionHighSchool,8394,15,6,0,0,0
NorthWoodHighSchool,1737,45,5,0,0,0
NortheastDuboisHighSchool,1545,23,18,2,0,3
NortheasternHighSchool,8927,37,15,0,1,0
NorthfieldJrSrHighSchool,8651,30,7,1,0,1
NorthridgeHighSchool,1733,84,30,1,0,0
NorthropHighSchool,0219,94,62,7,3,27
NorthviewHighSchool,0933,92,25,4,1,0
NorthwestCommunityHighSchool,5483,11,20,0,0,0
NorthwesternSeniorHighSchool,2897,68,16,1,0,1
NorwellHighSchool,9087,37,16,5,1,12
OakHillHighSchool,6069,33,23,0,0,0
OaklandHighSchool,8015,***,***,***,***,***
OldenburgAcademy,D135,27,2,0,0,0
OptionsCharterSchoolCarmel,2524,***,***,***,***,***
OptionsCharterSchoolNoblesville,2551,***,***,***,***,***
OregonDavisJrSrHighSchool,7831,8,4,2,0,0
OrleansJrSrHighSch,6573,20,14,0,0,0
OwenValleyCommunityHS,6613,36,43,0,0,1
PaddockViewResidentialCenter,B167,,,,,
PendletonHeightsHighSchool,5053,102,62,3,1,0
PennHighSchool,7353,348,61,6,1,0
PerryMeridianHighSchool,5307,131,94,4,1,0
PeruHighSchool,6085,40,18,1,0,1
PikeHighSchool,5353,212,132,4,3,1
PinnacleSchool,C899,***,***,***,***,***
PioneerJrSrHighSchool,0645,18,10,0,0,0
PlainfieldHighSchool,2749,131,44,3,0,1
PlymouthHighSchool,5945,66,21,1,0,0
PortageChristianSchool,D080,***,***,***,***,***
PortageHighSchool,6853,194,70,4,1,4
PrairieHeightsSrHighSchool,3690,16,13,0,0,1
PrincetonCommunityHighSchool,2249,27,29,0,1,5
ProvidenceCristoReyHighSchool,C623,15,6,0,0,0
RNelsonSniderHighSchool,0102,127,53,7,1,22
RandolphSouthernJrSrHighSch,7121,10,10,2,0,0
ReitzMemorialHighSchool,D535,64,8,0,0,6
RensselaerCentralHighSchool,3201,30,14,0,0,0
RichmondAcademy,D860,,,,,
RichmondHighSchool,8993,104,51,1,1,0
RileyHighSchool,7513,81,16,1,4,0
RiseUpAcademyatEggleston,7534,***,***,***,***,***
RisingSunHighSchool,6513,12,12,0,0,0
RiverForestHighSchool,3791,18,5,0,0,0
RivertonParkeJrSrHighSchool,6627,20,13,0,0,0
RivetMiddleHighSchool,B560,3,11,1,0,0
RochesterCommunityHighSchool,2173,37,4,0,0,3
RockCreekCommunityAcademy,0771,13,6,1,0,0
RockvilleJrSrHighSchool,6637,18,12,0,0,0
RoncalliHighSchool,C320,148,21,0,0,1
RossvilleMiddleSeniorHighSchool,1021,28,11,2,0,0
SaintJosephHighSchool,D225,60,5,0,0,0
SalemHighSchool,8857,41,10,1,0,0
ScottsburgSeniorHighSchool,7641,42,24,1,3,1
SeegerMemorialJrSrHS,8737,25,17,4,0,0
SetonCatholicHighSchool,D842,***,***,***,***,***
SeymourChristianAcademy,B455,***,***,***,***,***
SeymourSeniorHighSchool,3133,86,35,4,0,0
ShakamakJrSrHighSchool,2445,12,24,1,0,0
ShaweMemorialHighSchool,B505,***,***,***,***,***
ShenandoahHighSchool,2817,23,25,1,0,0
SheridanHighSchool,2463,23,14,0,0,1
ShoalsCommJrSrHighSch,5985,12,9,0,0,2
ShortridgeHighSchool,5485,21,18,0,0,0
SignatureSchoolInc,8295,35,0,0,0,2
SilverCreekHighSchool,0777,61,36,0,0,1
SouthAdamsHighSchool,0023,16,7,0,2,4
SouthCentralJrSrHighSchool,4737,32,6,1,0,0
SouthCentralJrSrHighSchool,2670,15,4,0,0,0
SouthDearbornHighSchool,1179,24,35,1,1,0
SouthDecaturJrSrHighSchool,1263,16,5,1,0,0
SouthKnoxMiddleHighSchool,3490,15,36,1,0,1
SouthNewtonSeniorHighSch,6417,15,14,0,0,0
SouthPutnamHighSchool,7071,36,9,0,0,1
SouthRipleyHighSchool,7182,15,14,0,0,0
SouthSideHighSchool,0105,40,38,6,1,11
SouthSpencerHighSchool,7795,30,12,0,0,3
SouthVermillionHighSchool,8432,41,24,1,0,0
SouthernWellsJrSrHighSch,9058,17,6,0,0,4
SouthmontSrHighSchool,6257,30,24,0,2,0
SouthportHighSchool,5309,110,67,3,0,0
SouthridgeHighSchool,1588,40,18,0,0,1
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***
SouthwesternHighSchool,3337,16,15,0,0,2
SouthwesternHighSchool,7701,5,4,0,0,1
SouthwoodJrSrHighSchool,8655,21,20,0,0,1
SpeedwaySeniorHighSchool,5891,39,27,0,0,1
SullivanHighSchool,7957,28,24,1,1,0
TCHarrisSchool,D451,,,,,
TROYCenter,D907,***,***,***,***,***
TabernacleChristianSchools,C940,***,***,***,***,***
TaylorHighSchool,2894,37,12,1,1,0
TecumsehJrSrHighSch,8772,6,12,0,0,3
TellCityJrSrHighSchool,6741,18,18,0,0,2
TerreHauteNorthVigoHighSch,8441,162,67,7,0,2
TerreHauteSouthVigoHighSch,8457,148,61,2,0,0
TheAcadofSciEntrepreneurship,6202,***,***,***,***,***
TheExcelCenterAnderson,4904,***,***,***,***,***
TheIndependenceAcademy,C589,***,***,***,***,***
TheKingsAcademy,B136,***,***,***,***,***
TheaBowmanLeadershipAcademy,4022,29,15,1,0,4
TheodoreRooseveltCareerTechnicalAcademy,4033,9,6,0,0,0
ThomasAEdisonJrSrHighSchool,3965,26,17,0,0,0
ThomasCarrHoweCommunityHighSchool,5639,10,11,0,0,0
TippecanoeValleyHighSchool,3602,24,18,0,0,8
TiptonHighSchool,8177,43,11,2,0,0
ToddAcademyInc,B293,***,***,***,***,***
TradersPointChristianAcademy,C375,***,***,***,***,***
TriCentralMiddleHighSchool,8155,24,6,1,0,0
TriJuniorSeniorHighSchool,2773,18,15,0,0,0
TriCountyMiddleSeniorHigh,9141,15,14,1,0,0
TriWestSeniorHighSchool,2731,50,18,1,0,0
TrinityChristianSchool,C561,***,***,***,***,***
TrinityLutheranHighSchool,B452,17,5,0,1,0
TritonCentralHighSchool,7689,35,5,1,0,0
TritonJrSrHighSchool,5923,17,10,0,0,2
TurkeyRunJrSrHighSchool,6649,8,5,1,0,0
TwinLakesSeniorHighSchool,9149,41,32,2,0,0
UnionCityCommunityJrSrHS,7161,26,8,0,0,0
UnionCountyHighSchool,8193,36,15,0,0,0
UnionHighSchool,7909,,,,,
UnionJuniorHighSchool,7119,6,9,0,0,0
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***
UniversityHighSchoolofIndiana,B241,23,2,0,0,0
ValparaisoHighSchool,6881,251,45,2,1,0
VictoryChristianAcademy,D073,10,2,0,0,0
WabashHighSchool,8693,21,12,0,0,2
WaldoJWoodMemorialHighSchool,2233,8,4,0,0,0
WaldronJrSrHighSchool,7665,15,3,1,0,0
WapahaniHighSchool,1375,25,26,0,0,0
WarrenCentralHighSchool,5361,219,133,5,8,1
WarsawCommunityHighSchool,3647,97,77,1,0,13
WashingtonCatholicMidHighSch,A660,6,5,0,0,0
WashingtonHighSchool,7517,49,17,2,1,0
WashingtonHighSchool,1125,24,50,2,0,3
WashingtonTwpMiddleHighSchool,6849,22,7,0,2,0
WawaseeHighSchool,3639,50,24,0,0,12
WayneHighSchool,0177,32,38,6,0,13
WesDelMiddleSeniorHighSchool,1372,29,19,0,0,0
WestCentralSeniorHighSchool,7025,11,9,0,0,0
WestLafayetteJrSrHighSch,8129,88,12,1,0,0
WestNobleHighSchool,6489,18,22,1,0,2
WestSideLeadershipAcademy,4163,20,21,0,0,0
WestVigoHighSchool,8453,54,27,1,2,0
WestWashingtonJrSrHS,8869,15,12,0,0,0
WesternBooneJrSrHighSchool,0539,55,15,0,0,0
WesternHighSchool,2921,83,14,0,1,2
WestfieldHighSchool,2493,195,61,2,0,2
WestviewJrSrHighSchool,3697,15,4,1,0,3
WestvilleHighSchool,4701,18,4,0,0,0
WheelerHighSchool,6841,49,12,2,0,0
WhiteRiverValleyJrSrHighSchool,2429,7,21,1,0,0
WhitesAcademy,B473,***,***,***,***,***
WhitesJrSrHighSchool,8673,***,***,***,***,***
WhitelandCommunityHighSchool,3421,91,73,1,0,0
WhitingHighSchool,4353,37,7,0,0,0
WhitkoHighSchool,9191,15,19,1,0,3
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,29,12,1,0,4
WilliamHenryHarrisonHighSchool,8311,48,40,0,0,7
WilliamWBordenHighSchool,0813,22,8,1,0,1
WinamacCommunityHighSchool,6997,27,11,2,0,0
WoodlanJrSrHighSchool,0285,22,10,1,2,8
YorktownHighSchool,1389,72,33,3,0,1
ZionsvilleCommunityHighSchool,0512,197,28,3,0,3
