School,ID,Indiana_Public_College,Indiana_Private_College_np,Indiana_Private_College_fp,Out_of_State_Public_College,Out_of_State_Private_College_(non-profit),Out_of_State_Private_College_(for-profit),Non_degree_Granting_School,Did_Not_Enroll_in_College,Year
NorthKnoxJrSrHighSchool,3537,65,4,0,0,2,0,0,29,2014
NorthMiamiMiddleHighSchool,6049,25,11,0,0,2,0,0,32,2014
NorthMontgomeryHighSchool,6271,48,19,1,3,1,0,0,50,2014
NorthNewtonJrSrHighSch,6411,40,3,0,1,3,0,0,48,2014
NorthPoseySrHighSch,6975,80,5,1,8,1,0,0,39,2014
NorthPutnamSrHighSch,7061,52,15,2,2,1,0,0,57,2014
NorthSideHighSchool,0101,146,24,0,5,7,1,0,123,2014
NorthVermillionHighSchool,8394,24,8,0,6,1,0,0,15,2014
NorthWhiteJrSrHighSchool,9135,22,4,0,0,0,0,0,38,2014
NorthWoodHighSchool,1737,71,40,0,4,6,1,0,73,2014
NortheastDuboisHighSchool,1545,37,7,0,5,1,0,2,23,2014
NortheasternHighSchool,8927,48,3,0,1,1,0,0,18,2014
NorthfieldJrSrHighSchool,8651,26,7,0,0,4,0,0,33,2014
NorthridgeHighSchool,1733,112,38,0,13,24,0,1,100,2014
NorthropHighSchool,0219,205,31,0,6,7,1,0,205,2014
NorthviewHighSchool,0933,120,17,2,1,3,0,0,97,2014
NorthwestCommunityHighSchool,5483,49,3,0,4,0,1,0,70,2014
NorthwesternSeniorHighSchool,2897,71,19,0,5,1,1,0,33,2014
NorwellHighSchool,9087,78,32,2,1,8,0,0,75,2014
OakHillHighSchool,6069,64,14,0,2,1,0,0,30,2014
OaklandHighSchool,8015,***,***,***,***,***,***,***,19,2014
OldenburgAcademy,D135,11,1,0,9,7,0,0,5,2014
OptionsCharterSchoolCarmel,2524,***,***,***,***,***,***,***,15,2014
OptionsCharterSchoolNoblesville,2551,11,0,0,1,0,0,0,30,2014
OregonDavisJrSrHighSchool,7831,14,3,0,3,0,0,0,31,2014
OrleansJrSrHighSch,6573,36,1,0,3,1,0,0,28,2014
OurLadyOfProvidenceHighSch,A575,74,10,0,18,18,0,0,11,2014
OwenValleyCommunityHS,6613,80,7,0,2,1,0,0,75,2014
PaddockViewResidentialCenter,B167,***,***,***,***,***,***,***,***,2014
PaoliJrSrHighSch,6581,62,7,0,0,4,1,0,41,2014
PendletonHeightsHighSchool,5053,142,27,1,5,5,0,0,92,2014
PennHighSchool,7353,387,67,0,68,42,0,1,315,2014
PerryCentralJrSrHighSch,6708,43,1,1,3,1,0,0,21,2014
PerryMeridianHighSchool,5307,207,57,6,6,8,1,2,200,2014
PeruHighSchool,6085,59,15,0,2,4,0,0,71,2014
PikeCentralHighSch,6763,57,7,0,2,1,0,1,58,2014
PikeHighSchool,5353,315,30,0,40,22,4,0,197,2014
PinnacleSchool,C899,***,***,***,***,***,***,***,***,2014
PioneerJrSrHighSchool,0645,31,8,0,0,2,0,0,22,2014
PlainfieldHighSchool,2749,165,48,1,13,22,3,0,115,2014
PlymouthHighSchool,5945,86,43,1,5,8,0,0,111,2014
PortageChristianSchool,D080,***,***,***,***,***,***,***,***,2014
PortageHighSchool,6853,301,33,0,14,11,4,0,251,2014
PrairieHeightsSrHighSchool,3690,30,12,0,3,5,0,0,61,2014
PrincetonCommunityHighSchool,2249,85,8,0,6,3,0,1,36,2014
ProvidenceCristoReyHighSchool,C623,7,5,0,2,0,0,0,2,2014
RNelsonSniderHighSchool,0102,213,31,1,8,8,1,0,148,2014
RandolphSouthernJrSrHighSch,7121,25,2,0,0,0,0,0,16,2014
ReitzMemorialHighSchool,D535,109,15,1,41,16,0,0,19,2014
RensselaerCentralHighSchool,3201,47,17,1,2,1,0,0,33,2014
RichmondAcademy,D860,***,***,***,***,***,***,***,***,2014
RichmondHighSchool,8993,173,15,0,9,11,2,0,124,2014
RileyHighSchool,7513,114,18,0,10,8,0,2,100,2014
RiseUpAcademyatEggleston,7534,***,***,***,***,***,***,***,26,2014
RisingSunHighSchool,6513,24,1,0,7,0,0,0,18,2014
RiverForestHighSchool,3791,24,5,0,1,0,0,0,52,2014
RivertonParkeJrSrHighSchool,6627,39,7,0,2,0,0,0,26,2014
RivetMiddleHighSchool,B560,29,2,0,6,0,0,0,1,2014
RochesterCommunityHighSchool,2173,39,14,0,1,3,0,0,66,2014
RockCreekCommunityAcademy,0771,7,1,0,2,0,0,0,11,2014
RockvilleJrSrHighSchool,6637,29,7,0,3,3,0,0,11,2014
RoncalliHighSchool,C320,155,45,0,12,16,0,0,21,2014
RossvilleMiddleSeniorHighSchool,1021,32,2,0,0,3,0,0,22,2014
RushvilleConsolidatedHighSch,7285,86,19,0,6,4,1,0,85,2014
SaintJosephHighSchool,D225,84,20,0,16,32,0,0,35,2014
SalemHighSchool,8857,66,8,0,5,1,0,0,79,2014
ScecinaMemorialSchool,C710,26,27,2,3,8,0,0,12,2014
ScottsburgSeniorHighSchool,7641,63,12,0,5,6,0,0,73,2014
SeegerMemorialJrSrHS,8737,38,4,0,7,3,0,0,39,2014
SetonCatholicHighSchool,D842,7,2,0,1,7,0,0,1,2014
SeymourChristianAcademy,B455,***,***,***,***,***,***,***,***,2014
SeymourSeniorHighSchool,3133,120,14,1,6,6,0,0,131,2014
ShakamakJrSrHighSchool,2445,29,1,0,0,3,0,0,22,2014
ShaweMemorialHighSchool,B505,9,3,0,1,2,0,0,3,2014
ShelbyvilleSrHighSch,7717,96,26,2,5,6,0,2,110,2014
ShenandoahHighSchool,2817,64,6,0,2,0,2,0,46,2014
SheridanHighSchool,2463,38,13,0,1,2,0,0,27,2014
ShoalsCommJrSrHighSch,5985,25,0,0,2,1,0,0,12,2014
ShortridgeHighSchool,5485,23,9,0,1,1,0,0,22,2014
SignatureSchoolInc,8295,41,11,0,8,15,0,0,2,2014
SilverCreekHighSchool,0777,84,5,0,18,11,2,0,63,2014
SouthAdamsHighSchool,0023,35,12,0,1,0,1,0,53,2014
SouthCentralJrSrHighSchool,4737,28,5,0,1,1,0,0,31,2014
SouthCentralJrSrHighSchool,2670,23,0,0,1,2,0,0,25,2014
SouthDearbornHighSchool,1179,68,8,0,19,10,1,0,99,2014
SouthDecaturJrSrHighSchool,1263,33,9,0,0,1,0,0,29,2014
SouthKnoxMiddleHighSchool,3490,54,1,0,2,0,0,0,18,2014
SouthNewtonSeniorHighSch,6417,25,4,0,0,2,0,0,16,2014
SouthPutnamHighSchool,7071,47,7,2,2,2,2,0,36,2014
SouthRipleyHighSchool,7182,32,6,0,3,3,0,0,42,2014
SouthSideHighSchool,0105,132,23,0,9,9,0,0,146,2014
SouthSpencerHighSchool,7795,60,1,0,12,6,0,0,26,2014
SouthVermillionHighSchool,8432,67,10,0,4,3,1,0,59,2014
SouthernWellsJrSrHighSch,9058,26,12,0,0,2,0,0,23,2014
SouthmontSrHighSchool,6257,49,16,0,2,4,0,0,45,2014
SouthportHighSchool,5309,179,30,2,13,7,0,1,236,2014
SouthridgeHighSchool,1588,46,8,0,5,1,0,0,35,2014
SouthwestINRegionalYouthVlg,B562,***,***,***,***,***,***,***,***,2014
SouthwesternHighSchool,3337,47,8,0,5,3,0,0,28,2014
SouthwesternHighSchool,7701,23,3,1,1,0,0,0,21,2014
SouthwoodJrSrHighSchool,8655,51,11,0,0,2,0,0,30,2014
SpeedwaySeniorHighSchool,5891,58,5,0,4,2,0,0,43,2014
SpringsValleyCommHighSch,6589,35,6,0,1,2,0,0,25,2014
SullivanHighSchool,7957,67,6,0,5,2,0,0,29,2014
SwitzerlandCoSeniorHighSch,7993,24,5,0,4,5,0,0,60,2014
TCHarrisSchool,D451,***,***,***,***,***,***,***,***,2014
TROYCenter,D907,***,***,***,***,***,***,***,***,2014
TabernacleChristianSchools,C940,***,***,***,***,***,***,***,***,2014
TaylorHighSchool,2894,53,3,0,2,3,1,0,34,2014
TecumsehJrSrHighSch,8772,21,7,0,5,0,0,0,22,2014
TellCityJrSrHighSchool,6741,48,1,0,7,1,1,0,52,2014
TerreHauteNorthVigoHighSch,8441,237,37,0,10,10,0,0,123,2014
TerreHauteSouthVigoHighSch,8457,190,27,1,9,10,0,0,102,2014
TheAcadofSciEntrepreneurship,6202,26,1,0,0,2,0,0,12,2014
TheExcelCenterAnderson,4904,14,1,2,0,0,2,0,59,2014
TheExcelCenterKokomo,2976,***,***,***,***,***,***,***,10,2014
TheExcelCenterLafayette,8094,***,***,***,***,***,***,***,17,2014
TheExcelCenterLafayetteSq,5912,***,***,***,***,***,***,***,15,2014
TheExcelCenterRichmond,9012,***,***,***,***,***,***,***,13,2014
TheIndependenceAcademy,C589,***,***,***,***,***,***,***,***,2014
TheKingsAcademy,B136,***,***,***,***,***,***,***,3,2014
TheaBowmanLeadershipAcademy,4022,48,3,0,10,4,3,0,32,2014
TheodoreRooseveltCareerTechnicalAcademy,4033,27,1,1,2,1,1,0,36,2014
ThomasAEdisonJrSrHighSchool,3965,36,5,0,1,2,1,0,40,2014
ThomasCarrHoweCommunityHighSchool,5639,15,1,1,3,0,1,0,29,2014
TippecanoeValleyHighSchool,3602,57,9,0,0,4,0,0,63,2014
TiptonHighSchool,8177,73,13,0,2,2,0,0,33,2014
ToddAcademyInc,B293,***,***,***,***,***,***,***,***,2014
TradersPointChristianAcademy,C375,5,5,0,0,0,0,0,3,2014
TriCentralMiddleHighSchool,8155,40,3,0,1,0,0,0,23,2014
TriJuniorSeniorHighSchool,2773,38,11,0,0,2,0,0,21,2014
TriCountyMiddleSeniorHigh,9141,26,5,0,3,1,0,0,20,2014
TriWestSeniorHighSchool,2731,62,13,0,3,2,0,0,57,2014
TrinityChristianSchool,C561,***,***,***,***,***,***,***,***,2014
TrinityLutheranHighSchool,B452,24,10,0,0,2,1,1,3,2014
TritonCentralHighSchool,7689,58,12,1,2,1,0,0,44,2014
TritonJrSrHighSchool,5923,32,8,0,1,2,0,1,27,2014
TurkeyRunJrSrHighSchool,6649,15,1,0,0,2,0,0,15,2014
TwinLakesSeniorHighSchool,9149,80,16,1,4,2,0,0,72,2014
UnionCityCommunityJrSrHS,7161,27,2,0,0,2,0,0,18,2014
UnionCountyHighSchool,8193,37,7,0,10,4,0,0,38,2014
UnionHighSchool,7909,17,1,0,0,0,0,0,5,2014
UnionJuniorHighSchool,7119,19,3,0,1,0,0,0,18,2014
UniversityHeightsPreparatoryAcademy,5864,***,***,***,***,***,***,***,9,2014
UniversityHighSchoolofIndiana,B241,23,12,0,3,22,1,0,7,2014
ValparaisoHighSchool,6881,256,58,0,26,36,0,0,112,2014
VictoryChristianAcademy,D073,***,***,***,***,***,***,***,3,2014
WabashHighSchool,8693,41,10,0,3,1,0,0,54,2014
WaldoJWoodMemorialHighSchool,2233,20,4,0,4,0,0,0,21,2014
WaldronJrSrHighSchool,7665,20,8,0,1,0,0,0,25,2014
WapahaniHighSchool,1375,52,2,0,1,2,0,0,23,2014
WarrenCentralHighSchool,5361,335,26,11,34,10,4,0,363,2014
WarsawCommunityHighSchool,3647,208,80,0,10,11,3,0,216,2014
WashingtonCatholicMidHighSch,A660,7,5,0,1,0,0,0,4,2014
WashingtonHighSchool,7517,85,19,0,8,8,0,1,80,2014
WashingtonHighSchool,1125,96,5,0,2,5,0,0,75,2014
WashingtonTwpMiddleHighSchool,6849,31,7,0,0,1,0,0,19,2014
WawaseeHighSchool,3639,65,17,0,5,4,0,0,77,2014
WayneHighSchool,0177,97,29,0,6,4,0,0,156,2014
WesDelMiddleSeniorHighSchool,1372,34,6,0,0,0,0,0,24,2014
WestCentralSeniorHighSchool,7025,20,8,0,1,6,0,0,22,2014
WestLafayetteJrSrHighSch,8129,126,16,0,15,18,0,0,19,2014
WestNobleHighSchool,6489,50,21,0,2,1,0,0,79,2014
WestSideLeadershipAcademy,4163,101,2,3,13,1,1,0,71,2014
WestVigoHighSchool,8453,72,6,0,3,1,1,0,32,2014
WestWashingtonJrSrHS,8869,36,2,0,1,0,1,0,38,2014
WesternBooneJrSrHighSchool,0539,84,13,0,6,3,0,0,50,2014
WesternHighSchool,2921,94,22,0,6,8,0,0,57,2014
WestfieldHighSchool,2493,264,45,1,34,25,0,0,84,2014
WestviewJrSrHighSchool,3697,32,14,0,3,2,0,0,37,2014
WestvilleHighSchool,4701,36,7,0,1,1,1,0,25,2014
WheelerHighSchool,6841,68,10,0,2,4,0,0,42,2014
WhiteRiverValleyJrSrHighSchool,2429,31,6,0,1,0,0,0,21,2014
WhitesAcademy,B473,***,***,***,***,***,***,***,***,2014
WhitesJrSrHighSchool,8673,***,***,***,***,***,***,***,8,2014
WhitelandCommunityHighSchool,3421,192,49,5,8,8,0,2,169,2014
WhitingHighSchool,4353,50,6,0,3,3,0,0,27,2014
WhitkoHighSchool,9191,42,19,0,0,4,0,0,77,2014
WilliamAWirtEmersonVisualPerfArtsAcademy,4168,40,5,0,3,2,0,0,23,2014
WilliamHenryHarrisonHighSch,8029,200,20,1,11,14,2,0,102,2014
WilliamHenryHarrisonHighSchool,8311,90,25,1,17,4,0,1,65,2014
WilliamWBordenHighSchool,0813,28,3,0,2,1,1,0,19,2014
WinamacCommunityHighSchool,6997,26,14,0,2,1,0,0,35,2014
WinchesterCommunityHighSch,7125,46,6,0,1,2,0,0,34,2014
WoodlanJrSrHighSchool,0285,45,20,0,3,4,0,0,51,2014
YorktownHighSchool,1389,121,20,0,3,7,1,0,42,2014
ZionsvilleCommunityHighSchool,0512,245,46,0,51,45,1,0,50,2014
