School,ID,Diploma_Honors_EC,Diploma_Core40_EC,Diploma_General_EC,Waiver_Yes_EC,Waiver_No_EC,AP_Passed_EC,AP_NotPassed_EC,AP_NotTaken_EC,DualCredit_Yes_EC,DualCredit_No_EC,21Century_Yes_EC,21Century_No_EC,LunchFR_Yes_EC,LunchFR_No_EC,Race_White_EC,Race_Black_EC,Race_Hispanic_EC,Race_Asian_EC,Race_Other_EC,Yyear
McLeanEducationCenterAlt,8612,***,***,3,***,***,--,--,6,***,***,***,***,***,***,5,***,--,--,***,2014
MedoraJrSrHighSchool,3093,***,***,***,***,***,--,--,8,***,***,***,***,***,***,8,--,--,--,--,2014
MerrillvilleHighSchool,3809,78,168,40,10,276,30,53,203,117,169,95,236,144,142,41,178,34,***,***,2014
MichiganCityHighSchool,4795,76,118,8,12,190,15,13,174,107,95,88,166,102,100,124,55,13,***,***,2014
MidwestElitePrepAcadInc,B747,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MilanHighSchool,7205,29,20,5,2,52,***,***,43,44,10,31,41,14,40,***,--,--,***,--,2014
MishawakaHighSchool,7461,75,104,9,7,181,21,31,136,128,60,96,145,83,105,147,9,18,***,***,2014
MississinewaHighSchool,2333,48,56,2,4,102,18,37,51,25,81,39,65,44,62,95,***,***,***,***,2014
MitchellHighSchool,4925,31,27,24,5,77,12,13,57,44,38,42,64,24,58,82,--,--,--,--,2014
MonroeCentralJrSrHighSch,7151,15,24,5,***,***,--,--,44,29,15,16,27,18,26,41,--,--,***,***,2014
MonroviaHighSchool,6321,26,28,7,6,55,16,10,35,***,***,35,***,8,53,57,***,***,--,***,2014
MooresvilleHighSchool,6369,106,72,5,4,179,22,29,132,141,42,,160,31,152,172,***,5,***,***,2014
MorganTownshipMiddleHighSchool,6825,***,15,***,***,***,***,***,25,32,4,20,***,***,***,36,--,***,--,***,2014
MorristownJrSrHighSchool,7661,***,13,***,***,***,***,***,15,6,27,21,***,6,27,33,--,--,--,--,2014
MortonSeniorHighSchool,4417,19,121,8,11,137,11,30,107,24,124,34,122,92,56,42,51,46,***,***,2014
MountVernonHighSchool,6949,51,45,17,3,110,14,24,75,76,37,79,105,18,95,108,***,***,***,***,2014
MtVernonHighSchool,2569,103,85,2,***,***,38,63,89,77,113,,165,28,162,159,14,***,***,***,2014
MTISchoolofKnowledge,C628,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2014
MuncieCentralHighSchool,1421,45,40,14,3,96,14,27,58,53,46,44,51,49,50,65,23,***,***,***,2014
MuncieSouthsideHighSchool,1424,19,51,13,6,77,***,***,58,35,48,25,37,54,29,55,22,***,--,***,2014
MunsterHighSchool,4332,184,108,20,4,308,134,49,129,176,136,,296,47,265,214,16,44,25,13,2014
NeighborsNewVistasHighSchool,6864,--,9,0,***,***,--,--,9,--,9,***,***,7,2,5,***,***,--,***,2014
NewAlbanySeniorHighSchool,1925,112,108,7,19,208,49,57,121,186,41,,193,89,138,182,26,***,***,13,2014
NewCastleHighSchool,2825,52,67,10,5,124,20,22,87,80,49,70,84,44,85,116,--,***,--,***,2014
NewHavenHighSchool,0297,43,59,21,10,113,9,16,98,60,63,56,92,58,65,74,29,13,***,***,2014
NewPalestineHighSchool,2565,126,71,0,***,***,36,41,120,167,30,,178,22,175,195,***,***,***,***,2014
NewPrairieHighSchool,4689,51,75,3,***,***,16,45,68,74,55,87,102,28,101,119,***,6,***,***,2014
